Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,FL,G,FPTS,FPTS/G,ROST,Score,Weighted Score
1,Ja'Marr Chase,127,175,1708,13.4,70,19,17,3,0,17,403.0,23.7,98.9%,479.95,100.0
2,Justin Jefferson,103,154,1533,14.9,97,28,10,1,0,17,317.5,18.7,99.0%,424.3,88.4086648614872
3,Amon-Ra St. Brown,115,141,1263,11.0,66,14,12,2,1,17,316.2,18.6,99.2%,362.0,75.43220162466153
4,Drake London,100,158,1271,12.7,39,12,9,1,0,17,280.8,16.5,97.6%,357.25,74.44282441158092
5,Brian Thomas Jr.,87,133,1282,14.7,85,18,10,6,0,17,284.0,16.7,97.9%,355.95,74.17204749010622
6,Malik Nabers,109,170,1204,11.0,59,16,7,5,0,15,273.6,18.2,98.2%,342.65,71.40179129348053
7,Jerry Jeudy,90,145,1229,13.7,89,13,4,0,0,17,240.9,14.2,88.5%,340.75,71.00604040824828
8,CeeDee Lamb,101,152,1194,11.8,65,16,6,14,1,15,263.4,17.6,98.6%,336.85,70.1937096438242
9,Jaxon Smith-Njigba,100,137,1130,11.3,46,14,6,5,0,17,253.0,14.9,97.0%,320.5,66.78816913143095
10,Ladd McConkey,82,112,1149,14.0,60,15,7,0,0,16,240.9,15.1,97.7%,319.45,66.56946469485524
11,Garrett Wilson,101,154,1104,10.9,42,16,7,2,2,17,251.9,14.8,95.5%,314.85,65.61133097271401
12,Terry McLaurin,82,117,1096,13.4,86,12,13,2,1,17,267.8,15.8,97.5%,309.2,64.43449281399708
13,Courtland Sutton,81,135,1081,13.3,47,17,8,0,1,17,240.3,14.1,91.3%,302.6,63.05977921266403
14,Davante Adams,85,141,1063,12.5,71,16,8,0,0,14,241.3,17.2,96.1%,299.5,62.414080399916685
15,A.J. Brown,67,97,1079,16.1,67,17,7,0,0,13,216.9,16.7,98.6%,296.7,61.830868569048114
16,Zay Flowers,74,116,1059,14.3,53,19,4,9,0,17,209.5,12.3,93.4%,292.65,60.98729431368465
17,Jakobi Meyers,87,129,1027,11.8,43,16,4,2,0,15,218.0,14.5,83.9%,289.2,60.268694022078726
18,Mike Evans,74,110,1004,13.6,57,15,11,0,0,14,240.4,17.2,97.3%,282.4,58.85232243282649
19,DJ Moore,98,140,966,9.9,44,11,6,14,1,17,238.1,14.0,94.6%,278.8,58.1024786502812
19,Nico Collins,68,99,1006,14.8,67,14,7,0,0,12,210.6,17.6,98.7%,278.8,58.1024786502812
21,Calvin Ridley,64,120,1017,15.9,63,19,4,8,1,17,199.2,11.7,86.0%,278.65,58.071235159341796
22,Puka Nacua,79,106,990,12.5,51,11,3,11,0,11,206.6,18.8,98.9%,276.65,57.65465528014996
23,Jameson Williams,58,91,1001,17.3,82,17,7,11,0,15,212.2,14.1,90.1%,274.05,57.113101437200584
24,Jauan Jennings,77,113,975,12.7,45,12,6,0,0,15,210.5,14.0,83.7%,273.7,57.04019995834201
25,DK Metcalf,66,108,992,15.0,71,20,5,0,2,15,191.2,12.7,95.0%,273.6,57.01937096438242
26,Darnell Mooney,64,106,992,15.5,49,21,5,0,0,16,193.2,12.1,63.2%,272.9,56.87356800666527
27,Tyreek Hill,81,123,959,11.8,80,13,6,8,0,17,218.2,12.8,97.0%,271.1,56.498646115392624
28,Tee Higgins,73,109,911,12.5,42,12,10,0,1,12,222.1,18.5,97.5%,258.3,53.832534888564886
29,George Pickens,59,103,900,15.3,44,17,3,2,1,14,164.4,11.7,90.6%,247.15,51.51010206207041
30,Marvin Harrison Jr.,62,116,885,14.3,60,14,8,0,1,17,196.5,11.6,95.0%,246.95,51.46844407415122
31,Jordan Addison,63,99,875,13.9,69,13,9,3,0,15,212.5,14.2,88.5%,245.3,51.12476567381796
32,Jayden Reed,55,75,857,15.6,70,15,6,20,1,17,197.0,11.6,82.7%,236.5,49.29181420537388
33,DeVonta Smith,68,89,833,12.3,49,14,8,1,0,13,199.4,15.3,92.4%,236.05,49.19808373255572
34,Khalil Shakir,76,100,821,10.8,52,9,4,2,0,15,182.5,12.2,84.9%,233.85,48.7398458654447
35,Josh Downs,72,107,803,11.2,69,10,5,1,0,14,183.5,13.1,62.8%,228.45,47.615080191626745
36,Michael Pittman Jr.,69,111,808,11.7,33,12,3,0,1,16,165.8,10.4,73.3%,227.65,47.44844823995001
37,Alec Pierce,37,69,824,22.3,65,13,7,0,0,16,161.4,10.1,23.5%,222.45,46.365340554051244
38,Keenan Allen,70,121,744,10.6,45,9,7,0,0,15,185.4,12.4,35.1%,214.0,44.60529056446574
39,Rashod Bateman,45,72,756,16.8,59,11,9,0,0,17,174.6,10.3,43.0%,209.25,43.61591335138513
40,Wan'Dale Robinson,93,140,699,7.5,35,4,3,3,0,17,182.7,10.7,31.5%,208.8,43.52218287856697
41,Jaylen Waddle,58,83,744,12.8,63,12,2,4,0,16,149.6,9.4,88.8%,207.3,43.209747969173094
42,Cooper Kupp,67,100,710,10.6,69,10,6,2,0,12,175.0,14.6,87.0%,203.95,42.51197667152677
43,Rome Odunze,54,101,734,13.6,47,8,3,3,1,17,144.9,8.5,86.0%,203.9,42.501562174546976
44,Quentin Johnston,55,91,711,12.9,66,12,8,3,0,15,174.7,11.6,36.3%,201.0,41.897521349718815
45,Ray-Ray McCloud III,62,87,686,11.1,60,8,1,10,2,17,140.5,8.3,5.5%,193.7,40.377004790668614
46,Deebo Samuel Sr.,51,81,670,13.1,76,10,3,42,1,15,153.6,10.2,86.1%,186.85,38.95021870443658
47,Tank Dell,51,81,667,13.1,50,9,3,9,0,14,140.0,10.0,18.8%,186.1,38.79400124973964
48,Xavier Worthy,59,98,638,10.8,54,4,6,20,0,17,187.2,11.0,94.0%,183.15,38.179545927931684
49,DeMario Douglas,66,87,621,9.4,36,8,3,3,0,17,147.7,8.7,23.2%,179.85,37.492189127265156
50,DeAndre Hopkins,56,80,610,10.9,35,6,5,0,0,16,147.0,9.2,29.6%,174.6,36.39866694438659
